#bin	swScore	milliDiv	milliDel	milliIns	genoName	genoStart	genoEnd	genoLeft	strand	repName	repClass	repFamily	repStart	repEnd	repLeft	id
608	199	93	47	0	chr1	3087541	3087584	-194107848	+	(TTG)n	Simple_repeat	Simple_repeat	2	46	0	1
608	1455	220	138	4	chr1	3087587	3087948	-194107484	+	MTD	LTR	MaLR	12	401	-18	1
608	392	51	0	17	chr1	3088547	3088607	-194106825	+	(TTTTG)n	Simple_repeat	Simple_repeat	2	60	0	1
608	1028	109	0	0	chr1	3088607	3088744	-194106688	-	B1_Mus1	SINE	Alu	-10	138	2	1
608	2912	28	0	0	chr1	3088748	3089103	-194106329	+	L1Md_F2	LINE	L1	5232	5586	-297	1
608	8205	42	2	2	chr1	3089103	3090099	-194105333	+	L1Md_F2	LINE	L1	5587	6582	0	1
608	984	223	74	42	chr1	3090099	3090314	-194105118	+	MTC	LTR	MaLR	200	421	0	1
608	607	95	0	0	chr1	3092096	3092180	-194103252	+	U6	snRNA	snRNA	1	84	-23	1
608	356	304	77	67	chr1	3092560	3092763	-194102669	+	L1M5	LINE	L1	2265	2486	-3660	1
608	1182	54	7	0	chr1	3092763	3092910	-194102522	+	B1_Mus1	SINE	Alu	1	148	0	1
608	356	304	77	67	chr1	3092910	3092991	-194102441	+	L1M5	LINE	L1	2487	2552	-3594	1
608	379	264	80	10	chr1	3093063	3093310	-194102122	+	L1M5	LINE	L1	2666	2950	-3196	1
608	22	0	0	0	chr1	3093343	3093365	-194102067	+	AT_rich	Low_complexity	Low_complexity	1	22	0	1
608	227	0	91	0	chr1	3093418	3093451	-194101981	+	(GAAAA)n	Simple_repeat	Simple_repeat	3	38	0	1
608	348	308	43	19	chr1	3093451	3093613	-194101819	+	L1M5	LINE	L1	3073	3238	-2908	1
608	266	317	70	28	chr1	3093631	3093774	-194101658	+	B1F2	SINE	Alu	1	149	0	1
608	305	300	0	0	chr1	3093782	3093862	-194101570	+	L1M5	LINE	L1	3252	3331	-2815	1
608	901	283	98	24	chr1	3093868	3094237	-194101195	+	MLT1A1	LTR	MaLR	1	396	-12	1
608	650	354	70	12	chr1	3094334	3094577	-194100855	+	B4A	SINE	B4	1	257	-35	1
608	311	288	68	14	chr1	3094786	3094934	-194100498	+	L1MEg	LINE	L1	1797	1952	-4132	1
608	944	278	76	25	chr1	3094943	3095271	-194100161	+	Lx5	LINE	L1	6672	7046	-12	1
608	310	303	167	9	chr1	3095307	3095684	-194099748	+	L1M5	LINE	L1	4822	5249	-897	1
608	314	295	8	24	chr1	3095972	3096097	-194099335	+	L1M5	LINE	L1	5623	5745	-419	1
608	32714	87	3	7	chr1	3096316	3102490	-194092942	-	L1Md_F2	LINE	L1	0	6582	217	1
608	703	263	88	17	chr1	3102579	3102873	-194092559	+	L1MB7	LINE	L1	5789	6103	-81	1
608	258	232	134	99	chr1	3103535	3103707	-194091725	+	MTEb	LTR	MaLR	2	179	-200	1
608	497	321	71	56	chr1	3104102	3104300	-194091132	-	B3A	SINE	B2	-1	215	15	1
608	2053	179	60	12	chr1	3104349	3104751	-194090681	-	MTC	LTR	MaLR	0	421	1	1
608	294	294	6	134	chr1	3105762	3105919	-194089513	+	B1_Mus1	SINE	Alu	6	142	-6	1
608	670	270	90	74	chr1	3105982	3106509	-194088923	+	Lx7	LINE	L1	5352	5914	-1782	1
608	531	0	0	0	chr1	3106535	3106594	-194088838	+	(TA)n	Simple_repeat	Simple_repeat	1	59	0	1
608	280	348	0	26	chr1	3108073	3108192	-194087240	+	MLT1A1	LTR	MaLR	181	334	-74	1
608	1019	252	5	0	chr1	3108223	3108433	-194086999	+	B3	SINE	B2	1	211	-5	1
608	344	260	31	10	chr1	3108566	3108663	-194086769	-	RMER15	LTR	ERVL	-75	500	402	1
608	1444	238	78	79	chr1	3108680	3109209	-194086223	+	RLTR20A	LTR	ERVK	13	540	-1	1
608	330	324	27	14	chr1	3109712	3109859	-194085573	-	B1F1	SINE	Alu	0	149	1	1
608	232	287	8	92	chr1	3111306	3111425	-194084007	-	MLT1A	LTR	MaLR	0	374	266	1
608	1857	128	9	51	chr1	3111710	3112046	-194083386	-	RLTRETN_Mm	LTR	ERVK	0	322	1	1
608	292	290	5	0	chr1	3112046	3112235	-194083197	+	(CA)n	Simple_repeat	Simple_repeat	1	190	0	1
608	306	0	0	0	chr1	3112238	3112272	-194083160	+	(GA)n	Simple_repeat	Simple_repeat	2	35	0	1
608	255	289	0	0	chr1	3112281	3112371	-194083061	+	(CA)n	Simple_repeat	Simple_repeat	1	90	0	1
608	3406	217	98	5	chr1	3112447	3113325	-194082107	-	Lx9	LINE	L1	-6	7638	6679	1
608	455	259	25	0	chr1	3113321	3113479	-194081953	+	L1_Rod	LINE	L1	2903	3064	-2783	1
608	3457	206	13	30	chr1	3113483	3113937	-194081495	+	RMER1B	Other	Other	354	778	-288	1
608	4328	95	0	8	chr1	3113937	3114541	-194080891	+	L1_Mus1	LINE	L1	5968	6566	-1	1
608	3457	196	14	26	chr1	3114541	3114835	-194080597	+	RMER1B	Other	Other	779	1062	-4	1
608	1947	251	76	43	chr1	3114848	3115421	-194080011	+	L1_Rod	LINE	L1	3083	3655	-2192	1
608	519	0	0	40	chr1	3115421	3115495	-194079937	+	(CAA)n	Simple_repeat	Simple_repeat	3	73	0	1
608	1947	251	76	43	chr1	3115495	3115812	-194079620	+	L1_Rod	LINE	L1	3656	4002	-1845	1
608	24	32	0	0	chr1	3115825	3115856	-194079576	+	AT_rich	Low_complexity	Low_complexity	1	31	0	1
608	8800	97	30	20	chr1	3115856	3118324	-194077108	-	Lx3A	LINE	L1	-28	6953	4464	1
608	716	304	46	32	chr1	3118333	3118618	-194076814	-	MLT1B	LTR	MaLR	-59	331	43	1
608	813	296	0	14	chr1	3120317	3120370	-194075062	-	B3	SINE	B2	-10	206	156	1
608	444	19	0	0	chr1	3120370	3120423	-194075009	+	(TG)n	Simple_repeat	Simple_repeat	1	53	0	1
608	813	296	0	14	chr1	3120423	3120578	-194074854	-	B3	SINE	B2	-61	155	1	1
608	2698	299	82	29	chr1	3120875	3121425	-194074007	-	Lx8	LINE	L1	-5	7468	6876	1
608	2686	108	7	15	chr1	3121425	3121828	-194073604	+	MTB	LTR	MaLR	1	400	0	1
608	2698	299	82	29	chr1	3121828	3122495	-194072937	-	Lx8	LINE	L1	-598	6875	6186	1
608	245	268	17	10	chr1	3122873	3122977	-194072455	-	Lx8	LINE	L1	-1524	5949	5843	1
608	2456	200	23	38	chr1	3123014	3123570	-194071862	-	Lx4B	LINE	L1	-2	7056	6509	1
608	284	146	0	0	chr1	3123571	3123619	-194071813	-	L1_Mur2	LINE	L1	-6453	259	212	1
608	609	198	30	24	chr1	3123633	3123799	-194071633	-	Lx8	LINE	L1	-425	5455	5289	1
608	1157	101	12	6	chr1	3123799	3123968	-194071464	-	B2_Mm2	SINE	B2	-7	188	19	1
608	235	326	51	28	chr1	3124015	3124192	-194071240	-	L1_Rod	LINE	L1	-704	5143	4963	1
608	396	0	0	0	chr1	3124199	3124243	-194071189	+	(TTG)n	Simple_repeat	Simple_repeat	2	45	0	1
608	343	338	22	14	chr1	3124477	3124615	-194070817	+	B1F	SINE	Alu	8	146	-3	1
608	269	333	13	0	chr1	3124625	3124700	-194070732	+	ID4_	SINE	ID	2	77	-6	1
608	570	29	0	0	chr1	3125026	3125094	-194070338	+	(GA)n	Simple_repeat	Simple_repeat	1	68	0	1
608	958	284	82	41	chr1	3126103	3126419	-194069013	+	MTEa	LTR	MaLR	51	379	0	1
608	360	298	41	8	chr1	3126427	3126549	-194068883	+	MLT1C	LTR	MaLR	20	145	-322	1
608	8567	4	0	0	chr1	3126665	3127837	-194067595	-	L1Md_A	LINE	L1	0	6582	5411	1
608	15764	9	0	0	chr1	3127840	3129718	-194065714	+	L1_Mm	LINE	L1	3617	5494	-389	1
608	24	32	0	0	chr1	3129767	3129798	-194065634	+	AT_rich	Low_complexity	Low_complexity	1	31	0	1
608	311	228	0	0	chr1	3129808	3129882	-194065550	+	MLT1C	LTR	MaLR	307	370	-4	1
608	6918	98	14	3	chr1	3130036	3131726	-194063706	-	L1_Mus1	LINE	L1	0	6567	4863	1
608	9280	102	0	10	chr1	3131725	3133171	-194062261	+	L1_Mm	LINE	L1	2155	3586	-2297	1
608	2310	109	23	3	chr1	3133173	3133523	-194061909	-	IAPEY2_LTR	LTR	ERVK	0	357	1	1
608	5066	104	5	8	chr1	3133523	3134304	-194061128	-	IAPEy-int	LTR	ERVK	0	7513	6735	1
608	3217	83	13	2	chr1	3134294	3134743	-194060689	-	IAPEy-int	LTR	ERVK	-1367	6214	5761	1
608	3157	95	0	16	chr1	3134734	3135182	-194060250	-	IAPEy-int	LTR	ERVK	-1939	5642	5202	1
608	532	110	12	0	chr1	3135460	3135542	-194059890	-	IAPEy-int	LTR	ERVK	-2932	4649	4567	1
608	420	92	0	44	chr1	3135529	3135597	-194059835	-	IAPEy-int	LTR	ERVK	-3775	3631	3567	1
608	604	202	0	0	chr1	3135623	3135742	-194059690	-	IAPEy-int	LTR	ERVK	-4653	2753	2635	1
608	256	247	11	56	chr1	3135754	3135844	-194059588	-	IAPEy-int	LTR	ERVK	-4867	2539	2454	1
608	434	230	88	0	chr1	3135857	3135970	-194059462	-	RLTR19-int	LTR	ERVK	-5077	1060	938	1
608	1510	179	95	47	chr1	3136018	3136460	-194058972	-	IAPEy-int	LTR	ERVK	-4750	656	251	1
608	23	54	0	0	chr1	3136660	3136697	-194058735	+	AT_rich	Low_complexity	Low_complexity	1	37	0	1
608	840	153	178	0	chr1	3136698	3136984	-194058448	-	IAPEy-int	LTR	ERVK	-6932	748	412	1
608	1886	149	20	112	chr1	3137444	3137898	-194057534	-	IAPEy-int	LTR	ERVK	-7101	412	1	1
608	2063	145	0	6	chr1	3137898	3138232	-194057200	-	IAPEY3_LTR	LTR	ERVK	0	332	1	1
608	11580	83	20	5	chr1	3138232	3139946	-194055486	+	L1_Mm	LINE	L1	3583	5323	-560	1
608	5265	92	11	21	chr1	3139946	3140769	-194054663	+	L1Md_Gf	LINE	L1	221	1035	-5487	1
608	2813	19	3	0	chr1	3140769	3141090	-194054342	+	RLTRETN_Mm	LTR	ERVK	1	322	0	1
9	38764	30	5	6	chr1	3141090	3145940	-194049492	+	MMETn-int	LTR	ERVK	1	4844	0	1
609	2787	16	3	0	chr1	3145940	3146261	-194049171	+	RLTRETN_Mm	LTR	ERVK	1	322	0	1
609	29986	77	14	1	chr1	3146261	3150670	-194044762	+	L1Md_Gf	LINE	L1	1126	5589	-297	1
609	7816	56	1	7	chr1	3150670	3151658	-194043774	+	L1Md_F2	LINE	L1	5587	6568	-14	1
609	32	26	0	0	chr1	3151666	3151705	-194043727	+	AT_rich	Low_complexity	Low_complexity	1	39	0	1
609	1174	104	0	0	chr1	3151705	3151878	-194043554	-	L1_Mm	LINE	L1	-1008	4875	4703	1
609	267	242	16	0	chr1	3152026	3152088	-194043344	+	(TG)n	Simple_repeat	Simple_repeat	2	64	0	1
609	364	253	41	29	chr1	3152092	3152263	-194043169	+	Lx8	LINE	L1	7296	7468	-5	1
609	238	343	147	11	chr1	3152913	3153090	-194042342	+	ORR1E	LTR	MaLR	1	201	-158	1
609	367	52	17	17	chr1	3153775	3153834	-194041598	+	(TTTTG)n	Simple_repeat	Simple_repeat	2	60	0	1
609	253	287	122	122	chr1	3153936	3154237	-194041195	-	MTEb	LTR	MaLR	-14	365	46	1
609	301	306	0	12	chr1	3154356	3154442	-194040990	+	GA-rich	Low_complexity	Low_complexity	6	90	0	1
609	225	257	0	14	chr1	3154505	3154576	-194040856	+	CT-rich	Low_complexity	Low_complexity	3	72	0	1
609	489	316	128	44	chr1	3155372	3155802	-194039630	+	MLT1D	LTR	MaLR	4	500	-5	1
609	250	326	22	11	chr1	3156833	3156923	-194038509	-	Tigger7	DNA	MER2_type	-2089	402	312	1
609	469	279	145	22	chr1	3156945	3157172	-194038260	-	Tigger7	DNA	MER2_type	-2229	262	8	1
609	646	348	33	74	chr1	3158389	3158755	-194036677	+	MLT1A	LTR	MaLR	4	354	-20	1
609	330	26	0	0	chr1	3159305	3159344	-194036088	+	(CA)n	Simple_repeat	Simple_repeat	2	40	0	1
609	22	99	0	0	chr1	3159344	3159415	-194036017	+	AT_rich	Low_complexity	Low_complexity	1	71	0	1
609	647	313	38	4	chr1	3159621	3159884	-194035548	-	ALINE	LINE	RTE	-168	449	178	1
609	335	269	75	0	chr1	3160419	3160512	-194034920	+	MER45C	DNA	Tip100	53	152	-801	1
609	252	59	0	0	chr1	3160618	3160652	-194034780	+	(CAAAA)n	Simple_repeat	Simple_repeat	2	35	0	1
609	3229	186	50	16	chr1	3160702	3161407	-194034025	+	L1VL4	LINE	L1	190	918	-5384	1
609	918	236	66	62	chr1	3161407	3161984	-194033448	+	L1_Mur1	LINE	L1	2	825	-6157	1
609	13133	145	12	5	chr1	3162009	3165329	-194030103	+	L1_Mus4	LINE	L1	3294	6636	0	1
609	4105	78	0	11	chr1	3165336	3165597	-194029835	+	L1_Mus1	LINE	L1	6030	6290	-277	1
609	4218	11	36	0	chr1	3165597	3166073	-194029359	-	MT2_Mm	LTR	ERVL	0	493	1	1
609	4105	78	0	11	chr1	3166073	3166355	-194029077	+	L1_Mus1	LINE	L1	6291	6567	0	1
